"date","statement","falsehood","analysis","category","keywords"
" Sep 26","Falsely said NATO had not “focus(ed) on terror” before he urged it to do so.","NATO looked at terror because of Trump","From Politifact: “NATO involvement in counter-terrorism issued its first formal declaration on terrorism in 1980, and it became a significant issue for the alliance on Sept. 11, 2001, said Lisa Sawyer Samp, a senior fellow in the international security program of the Center for Strategic and International Studies.”","Daesh/Middle east",""
" Sep 27","Falsely took credit for NATO creating a new intelligence position dealing with terrorism: “If I don’t say that, believe me, NATO is not opening up a terror operation.”","NATO looked at terror because of Trump","NATO and independent experts say Trump had nothing to do with the creation of the position. And contrary to Trump’s suggestion, NATO has had a “terror operation” for years.","Daesh/Middle east",""
" Sep 28","Falsely claimed he had been acknowledged to be correct in declaring NATO “obsolete because it doesn’t cover terror;” falsely suggested NATO created an anti-terror position because of his comments.","NATO looked at terror because of Trump","Experts continue to say NATO has long dealt with terror, and that the new position had nothing to do with Trump.","Daesh/Middle east",""
" Oct 19","Falsely said of NATO: “Since I did this — this was a year ago — all of a sudden, they’re paying. And I’ve been given a lot — a lot of credit for it. All of a sudden, they’re starting to pay up.”","NATO looked at terror because of Trump","There have not been new spending commitments by NATO members because of Trump, nor even since Trump’s emergence. Nobody credible is giving him credit for such a thing.","Daesh/Middle east",""
" Oct 19","Falsely said Saudi Arabia and Qatar “are people that push gays off business — off buildings.”","Saudi and Qatar push gays off buildings","Homosexual activities are illegal in both countries, but neither throws gay people off of buildings – that is the Daesh group.","Daesh/Middle east",""
" Oct 9","Falsely said, of the Benghazi attack, “Ambassador Stevens sent 600 requests for help. And the only one she talked to was Sidney Blumenthal who is her friend and not a good guy by the way.”","Stevens sent 600 request for help","The Washington Post, which looked deeply into the “600 requests” claim, found that “few if any” of the messages were from Stevens himself, and that many of the 600 were identified as “concerns,” not “requests,” which have different meanings in bureaucratic parlance. The requests did not go directly to Clinton, and not all of them were denied. As for Blumenthal, the New York Times wrote, “It is manifestly untrue to suggest, as Mr. Trump did, that he was only person she listened to on Benghazi.”","Daesh/Middle east",""
" Sep 26","Falsely said he “just got today” the endorsement of the Fraternal Order of Police.","Endorsed by FOP","The endorsement was delivered 10 days ago.","Trump's endorsements",""
" Sep 26","Falsely said, “In addition, I was just endorsed by ICE. They've never endorsed anybody before on immigration. I was just endorsed by ICE.”","Endorsed by ICE","Immigration and Customs Enforcement is a government agency that does not endorse candidates. Trump was actually endorsed by a union of some of its employees, the National Immigration and Customs Enforcement (ICE) Council.","Trump's endorsements",""
" Oct 15","Falsely said, “Over the last few years this administration has been steadily dismantling the federal criminal justice system. Tens of thousands of drug dealers have been released from prison early, including many illegal immigrants.”","Obama release tens of thousands of drug dealers","Obama has issued 775 commutations in all. Not even all of those have gone to drug dealers.","Obama's record",""
" Oct 9","Falsely said, “ICE just endorsed me. They've never endorsed a presidential candidate.”","Endorsed by ICE","Trump was not endorsed by Immigration and Customs Enforcement, a branch of the government, but by a union of its employees.","Trump's endorsements",""
" Oct 15","Falsely said, of his endorsements, “Both the Border Patrol agents and ICE have just done it. ICE did it last week.”","Endorsed by ICE","A union of Immigration and Customs Enforcement employees, not the government entity itself, endorsed him. It did so three weeks ago, not last week.","Trump's endorsements",""
" Oct 17","Falsely said, “ICE, last week. ICE endorsed us. ICE.”","Endorsed by ICE","Trump was not endorsed by ICE, the government agency Immigration and Customs Enforcement, but by a union of its employees. The endorsement did not happen last week but three weeks ago.","Trump's endorsements",""
" Oct 19","Falsely said, “ICE last week endorsed me.”","Endorsed by ICE","Immigration and Customs Enforcement, a government agency, did not endorse Trump; a union of its employees did. And it was three weeks ago, not last week.","Trump's endorsements",""
" Oct 21","Falsely said agents of Immigration and Customs Enforcement “just last week endorsed us.”","Endorsed by ICE","A union of ICE employees endorsed Trump three and a half weeks prior. We’d perhaps give him the benefit of the doubt if this was a one-time slip, but he has repeatedly insisted the endorsement occurred “last week” no matter how much time has passed.","Trump's endorsements",""
" Oct 22","Falsely said, “We have the first-ever endorsement from ICE and our Border Patrol officers.”","Endorsed by ICE","ICE, a government agency whose full name is Immigration and Customs Enforcement, does not endorse candidates. Trump was endorsed by a union of ICE officers.","Trump's endorsements",""
" Oct 24","Falsely said, “I’ve been endorsed by all the Border Patrol.”","Endorsed by ICE","Trump has been endorsed by the Border Patrol agents’ union, not its executives and not the entire entity. Trump usually specifies, but did not here.","Trump's endorsements",""
" Oct 25","Falsely said of the Border Patrol, “They’ve totally endorsed me, and so has ICE.”","Endorsed by ICE","A union of Border Patrol officers and a union of Immigration and Customs Enforcement officers has endorsed Trump, not the entire government agencies.","Trump's endorsements",""
